date, pm25, pm10, o3, no2, so2, co
2021/7/10, 71, 60, 6, 4, 2, 4
2021/7/11, 112, 56, 5, 3, 2, 5
2021/7/12, 91, 43, 7, 8, 2, 7
2021/7/13, 78, 47, 41, 10, 2, 6
2021/7/14, 83, 68, 18, 6, 2, 5
2021/7/15, 116, 66, 6, 6, 1, 5
2021/7/16, 100, 73, 13, 8, 2, 5
2021/7/17, 125, 52, 6, 7, 2, 5
2021/7/18, 89, 18, 1, 8, 2, 6
2021/7/19, 49, 49, 5, 8, 2, 6
2021/7/20, 94, 60, 8, 9, 2, 7
2021/7/21, 96, 48, 4, 6, 2, 4
2021/7/22, 78, 53, 4, 7, 2, 6
2021/7/23, 86, 63, 9, 9, 2, 6
2021/7/24, 101, 58, 16, 7, 2, 5
2021/7/25, 89, 60, 8, 7, 2, 5
2021/7/26, 115, 45, 1, 7, 2, 5
2021/7/27, 90, 28, , 6, 2, 5
2021/7/28, 50, 38, 6, 7, 2, 6
2021/7/29, 71, 49, 4, 9, 2, 10
2021/7/30, 95, 44, 36, 5, 2, 12
2021/7/31, 69, 50, 6, 8, 2, 14
2021/8/1, 85, 64, 32, 8, 1, 14
2021/8/2, 116, 53, 6, 6, 1, 11
2021/8/3, 78, 48, 5, 6, 1, 12
2021/8/4, 62, 66, 7, 6, 1, 11
2021/8/5, 96, 75, 9, 8, 1, 12
2021/8/6, 118, 69, 3, 9, 1, 14
2021/8/7, 114, 61, 4, 9, 1, 13
2021/8/8, 113, 64, 6, 8, 1, 12
2021/8/9, 114, 90, 5, 7, 2, 12
2021/8/10, 87, 76, 5, 6, 1, 10
2021/8/11, 69, 79, 8, 6, 1, 10
2021/8/12, 70, 74, 8, 6, 1, 10
2021/8/13, 67, 79, 9, 5, 1, 10
2021/8/14, 71, 75, 9, 5, 1, 10
2021/8/15, 75, 85, 11, 7, 1, 11
2021/8/16, 83, 99, 10, 8, 1, 12
2021/8/17, 114, 105, 12, 10, 1, 13
2021/8/18, 142, 113, 10, 10, 1, 11
2021/8/19, 156, 44, 3, 7, 1, 11
2021/8/20, 84, 20, 3, 5, 1, 11
2021/8/21, 66, 47, 3, 6, 1, 12
2021/8/22, 109, 51, 6, 10, 1, 12
2021/8/23, 96, 73, 2, 9, 1, 14
2021/8/24, 116, 80, 3, 7, 1, 10
2021/8/25, 91, 87, 4, 7, 1, 11
2021/8/26, 81, 117, 10, 9, 1, 11
2021/8/27, 108, 94, 10, 9, 1, 12
2021/8/28, 127, 81, 6, 7, 1, 11
2021/8/29, 129, 37, 6, 4, 1, 10
2021/8/30, 77, 32, 1, 6, 1, 11
2021/8/31, 57, 34, 1, 7, 1, 11
2021/9/1, 67, 42, 7, 9, 1, 12
2021/9/2, 77, 40, 7, 9, 1, 11
2021/9/3, 68, 43, 6, 11, 1, 13
2021/9/4, 68, 60, 9, 9, 1, 13
2021/9/5, 104, 72, 12, 10, 1, 13
2021/9/6, 124, 58, 18, 7, 1, 12
2021/9/7, 106, 44, 5, 5, 1, 10
2021/9/8, 70, 49, 5, 6, 1, 10
2021/9/9, 82, 47, 4, 6, 1, 10
2021/9/10, 85, 25, 7, 8, 1, 11
2021/9/11, 62, 35, 4, 8, 1, 13
2021/9/12, 73, 62, 31, 8, 1, 11
2021/9/13, 107, 65, 7, 6, 1, 12
2021/9/14, 73, 48, 6, 6, 1, 11
2021/9/15, 58, 44, 3, 7, 1, 11
2021/9/16, 63, 51, 7, 6, 1, 10
2021/9/17, 68, 56, 8, 7, 2, 11
2021/9/18, 89, 52, 8, 7, 1, 11
2021/9/19, 78, 53, 7, 7, 1, 12
2021/9/20, 80, 53, 6, 7, 1, 10
2021/9/21, 80, 44, 8, 7, 1, 10
2021/9/22, 75, 42, 6, 6, 1, 10
2021/9/23, 67, 47, 5, 8, 1, 11
2021/9/24, 68, 64, 12, 8, 1, 11
2021/9/25, 103, 53, 9, 7, 1, 11
2021/9/26, 95, 79, 18, 9, 1, 12
2021/9/27, 129, 71, 16, 8, 1, 11
2021/9/28, 110, 53, 8, 7, 1, 12
2021/9/29, 76, 58, 9, 8, 1, 9
2021/9/30, 89, 82, 13, 13, 1, 13
2021/4/1, 98, 102, 22, 14, 3, 5
2021/4/2, 117, 90, 31, 17, 3, 7
2021/4/3, 130, 101, 29, 18, 3, 8
2021/4/4, 130, 127, 32, 24, 3, 9
2021/4/5, 155, 172, 53, 21, 4, 7
2021/4/6, 181, 143, 31, 11, 3, 5
2021/4/7, 141, 90, 27, 14, 3, 7
2021/4/8, 108, 90, 27, 15, 3, 8
2021/4/9, 113, 91, 30, 16, 2, 9
2021/4/10, 111, 103, 30, 17, 4, 7
2021/4/11, 128, 131, 32, 20, 3, 6
2021/4/12, 164, 129, 25, 18, 4, 6
2021/4/13, 147, 107, 23, 13, 3, 4
2021/4/14, 122, 136, 27, 16, 3, 6
2021/4/15, 130, 242, 6, 15, 2, 5
2021/4/16, 143, , , , , 
2021/4/19, 124, 115, 26, 13, 4, 2
2021/4/20, 156, 67, 20, 5, 2, 4
2021/4/21, 80, 81, 27, 7, 3, 4
2021/4/22, 100, 83, 20, 6, 3, 3
2021/4/23, 97, 67, 28, 8, 3, 4
2021/4/24, 82, 107, 31, 13, 3, 5
2021/4/25, 135, 168, 37, 19, 4, 9
2021/4/26, 194, 197, 36, 19, 5, 10
2021/4/27, 197, 213, 34, 16, 4, 7
2021/4/28, 208, 246, 35, 12, 4, 6
2021/4/29, 195, 188, 30, 14, 3, 7
2021/4/30, 167, 141, 36, 8, 3, 5
2021/5/1, 135, 103, 26, 9, 2, 5
2021/5/2, 125, 167, 21, 9, 2, 5
2021/5/3, 132, 102, 19, 9, 2, 5
2021/5/4, 112, 117, 29, 6, 3, 5
2021/5/5, 147, 93, 21, 5, 2, 5
2021/5/6, 128, 81, 37, 9, 3, 6
2021/5/7, 128, 82, 35, 10, 2, 6
2021/5/8, 131, 80, 30, 6, 2, 5
2021/5/9, 131, 82, 26, 10, 2, 6
2021/5/10, 131, 88, 31, 7, 2, 5
2021/5/11, 119, 94, 23, 6, 2, 4
2021/5/12, 94, 60, 22, 6, 2, 5
2021/5/13, 84, 71, 30, 6, 2, 5
2021/5/14, 102, 128, 25, 8, 2, 5
2021/5/15, 90, 82, 37, 12, 3, 6
2021/5/16, 130, 98, 20, 19, 2, 8
2021/5/17, 140, 49, 9, 6, 2, 5
2021/5/18, 70, 40, 6, 6, 2, 5
2021/5/19, 85, 43, 15, 5, 2, 6
2021/5/20, 82, 44, 14, 8, 2, 6
2021/5/21, 75, 42, 24, 7, 2, 5
2021/5/22, 66, 401, 22, 7, 2, 5
2021/5/23, 162, 93, 25, 7, 2, 5
2021/5/24, 111, 79, 80, 10, 2, 5
2021/5/25, 87, 122, 59, 15, 3, 8
2021/5/26, 153, 95, 33, 15, 2, 8
2021/5/27, 121, 79, 16, 6, 2, 6
2021/5/28, 93, 66, 14, 3, 2, 5
2021/5/29, 53, 97, 14, 5, 2, 5
2021/5/30, 59, 87, 24, 14, 2, 8
2021/5/31, 99, 92, 24, 9, 2, 7
2021/6/1, 77, 79, 20, 10, 2, 8
2021/6/2, 114, 96, 41, 12, 3, 8
2021/6/3, 142, 91, 24, 11, 2, 7
2021/6/4, 128, 80, 25, 11, 2, 6
2021/6/5, 102, 99, 20, 11, 2, 7
2021/6/6, 99, 104, 42, 14, 3, 10
2021/6/7, 119, 246, 10, 11, 3, 8
2021/6/8, 124, 187, 12, 8, 2, 7
2021/6/9, 106, 124, 10, 5, 3, 6
2021/6/10, 131, 121, 13, 7, 3, 6
2021/6/11, 95, 63, 8, 5, 3, 6
2021/6/12, 90, 61, 11, 5, 3, 7
2021/6/13, 95, 65, 20, 11, 2, 6
2021/6/14, 90, 78, 14, 6, 2, 5
2021/6/15, 86, 62, 20, 8, 2, 5
2021/6/16, 92, 65, 14, 8, 2, 5
2021/6/17, 101, 46, 4, 5, 2, 5
2021/6/18, 73, 48, 8, 5, 2, 5
2021/6/19, 75, 38, 16, 4, 2, 5
2021/6/20, 74, 59, 23, 7, 2, 6
2021/6/21, 103, 88, 39, 9, 3, 6
2021/6/22, 114, 157, 55, 12, 3, 6
2021/6/23, 152, 94, 14, 6, 2, 5
2021/6/24, 127, 113, 25, 8, 3, 5
2021/6/25, 124, 86, 23, 10, 3, 7
2021/6/26, 110, 107, 23, 8, 2, 6
